match_id,date,home_team,away_team,league,country,venue,kickoff_time,status,competition_stage
13513414,2025-05-01,Barcelona,Inter Milan,"UEFA Champions League, Knockout Phase",Europe,,20:00,Ended,28
12436552,2025-05-01,Nottingham Forest,Brentford,Premier League,England,,20:15,Ended,34
13514555,2025-05-01,Athletic Club,Man United,"UEFA Europa League, Knockout Phase",Europe,,22:15,Ended,28
13514554,2025-05-01,Tottenham,Bodø/Glimt,"UEFA Europa League, Knockout Phase",Europe,,20:30,Ended,28
13514787,2025-05-01,Djurgårdens IF,Chelsea,"UEFA Conference League, Knockout Phase",Europe,,21:45,Ended,28
13514775,2025-05-01,Betis,Fiorentina,"UEFA Conference League, Knockout Phase",Europe,,20:00,Ended,28
13600958,2025-05-01,Al-Nassr,Kawasaki Frontale,AFC Champions League Elite,Asia,,18:30,Ended,28
12527828,2025-05-01,Juve Stabia,Catanzaro,Serie B,Italy,,11:15,Ended,36
12527826,2025-05-01,Cosenza,Bari,Serie B,Italy,,15:00,Ended,36
12527830,2025-05-01,Mantova,Cesena,Serie B,Italy,,12:45,Ended,36
12527832,2025-05-01,Modena,Reggiana,Serie B,Italy,,16:00,Ended,36
12527834,2025-05-01,Palermo,Südtirol,Serie B,Italy,,16:00,Ended,36
12527836,2025-05-01,Pisa,Frosinone,Serie B,Italy,,12:45,Ended,36
12527838,2025-05-01,Sampdoria,Cremonese,Serie B,Italy,,15:00,Ended,36
12527842,2025-05-01,Spezia,Salernitana,Serie B,Italy,,16:15,Ended,36
12527824,2025-05-01,Cittadella,Brescia,Serie B,Italy,,17:00,Ended,36
12527840,2025-05-01,Sassuolo,Carrarese,Serie B,Italy,,20:00,Ended,36
13636907,2025-05-01,Blackpool,Birmingham City,League One,England,,19:15,Ended,42
13645118,2025-05-01,Mansfield Town,Peterborough United,League One,England,,19:45,Ended,42
13573897,2025-05-01,Haras El Hedoud,Pyramids,"Premier League, Championship Round",Egypt,,13:30,Ended,20
13573895,2025-05-01,Petrojet,Al Ahly,"Premier League, Championship Round",Egypt,,20:15,Ended,20
13573877,2025-05-01,Ceramica Cleopatra,National Bank of Egypt,"Premier League, Championship Round",Egypt,,17:30,Ended,20
13573879,2025-05-01,Al-Masry,Zamalek SC,"Premier League, Championship Round",Egypt,,18:45,Ended,20
12592802,2025-05-01,Aston Villa,Arsenal,Women's Super League,England,,17:00,Ended,20
12592797,2025-05-01,Man United,Chelsea,Women's Super League,England,,19:00,Ended,20
13806656,2025-05-01,FC Levante Badalona,Barcelona,Liga F,Spain,,09:45,Ended,27
13760527,2025-05-01,USM Alger,ASO Chlef,Ligue 1,Algeria,,18:45,Ended,21
13810788,2025-05-01,Al-Muharraq,Sitra Club,Premier League,Bahrain,,19:15,Ended,17
13810790,2025-05-01,Bahrain SC,A'Ali,Premier League,Bahrain,,19:00,Ended,17
13810782,2025-05-01,Malkiya Club,Al Najma Manama,Premier League,Bahrain,,15:45,Ended,17
13666304,2025-05-01,FC Bayern München,SV Werder Bremen,"DFB Pokal, Women",Germany,,16:30,Ended,29
13801577,2025-05-01,SV Werder Bremen II U23,SV Drochtersen/Assel,Regionalliga North,Germany Amateur,,17:15,Ended,31
13545719,2025-05-01,Atyrau,Astana,Premier League,Kazakhstan,,12:45,Ended,18
13831039,2025-05-01,Birkirkara,Floriana,"Premier League, Closing Top 6",Malta,,18:30,Ended,5
13831038,2025-05-01,Marsaxlokk,Ħamrun Spartans,"Premier League, Closing Top 6",Malta,,18:15,Ended,5
13831040,2025-05-01,Mosta,Sliema Wanderers,"Premier League, Closing Top 6",Malta,,16:45,Ended,5
13836102,2025-05-01,Hibernians,Zabbar Saint Patrick,"Premier League, Closing Bottom 6",Malta,,15:00,Ended,5
13781769,2025-05-01,Lion City Sailors,Young Lions,Premier League,Singapore,,16:15,Ended,32
12246926,2025-05-01,Hougang United,Tampines Rovers,Premier League,Singapore,,13:15,Ended,33
12484392,2025-05-01,Inhulets Petrove,Zorya Luhansk,Premier League,Ukraine,,16:45,Ended,16
12436552,2025-05-02,Nottingham Forest,Brentford,Premier League,England,,23:00,Ended,34
12436562,2025-05-02,Man City,Wolverhampton,Premier League,England,,19:30,Ended,35
12436553,2025-05-02,Aston Villa,Fulham,Premier League,England,,11:00,Ended,35
12501523,2025-05-02,Torino,Venezia,Serie A,Italy,,19:00,Ended,35
12437542,2025-05-02,Rayo Vallecano,Getafe,LaLiga,Spain,,20:30,Ended,34
12499513,2025-05-02,1. FC Heidenheim,VfL Bochum 1848,Bundesliga,Germany,,20:30,Ended,32
12450232,2025-05-02,Nice,Stade de Reims,Ligue 1,France,,21:00,Ended,32
13514555,2025-05-02,Athletic Club,Man United,"UEFA Europa League, Knockout Phase",Europe,,20:15,Ended,28
13514554,2025-05-02,Tottenham,Bodø/Glimt,"UEFA Europa League, Knockout Phase",Europe,,22:30,Ended,28
13514787,2025-05-02,Djurgårdens IF,Chelsea,"UEFA Conference League, Knockout Phase",Europe,,23:00,Ended,28
13514775,2025-05-02,Betis,Fiorentina,"UEFA Conference League, Knockout Phase",Europe,,22:00,Ended,28
13631396,2025-05-02,KVC Westerlo,FCV Dender,"First Division, Conference League Playoffs",Belgium,,21:45,Ended,7
12465202,2025-05-02,Bristol City,Preston North End,Championship,England,,12:45,Ended,46
12465206,2025-05-02,Burnley,Millwall,Championship,England,,11:45,Ended,46
12465213,2025-05-02,Coventry City,Middlesbrough,Championship,England,,16:00,Ended,46
12465209,2025-05-02,Derby County,Stoke City,Championship,England,,13:30,Ended,46
12465203,2025-05-02,Norwich City,Cardiff City,Championship,England,,13:00,Ended,46
12465216,2025-05-02,Plymouth Argyle,Leeds United,Championship,England,,12:45,Ended,46
12465204,2025-05-02,Portsmouth,Hull City,Championship,England,,16:00,Ended,46
12465212,2025-05-02,Sheffield United,Blackburn Rovers,Championship,England,,14:00,Ended,46
12465237,2025-05-02,Sunderland,Queens Park Rangers,Championship,England,,13:30,Ended,46
12465236,2025-05-02,Swansea City,Oxford United,Championship,England,,11:45,Ended,46
12465238,2025-05-02,Watford,Sheffield Wednesday,Championship,England,,11:30,Ended,46
12465229,2025-05-02,West Bromwich Albion,Luton Town,Championship,England,,14:45,Ended,46
12465957,2025-05-02,Córdoba,Cádiz,LaLiga 2,Spain,,21:15,Ended,38
12499165,2025-05-02,1. FC Magdeburg,Preußen Münster,2. Bundesliga,Germany,,17:30,Ended,32
12499208,2025-05-02,FC Schalke 04,SC Paderborn 07,2. Bundesliga,Germany,,17:00,Ended,32
12499207,2025-05-02,Darmstadt 98,Hamburger SV,2. Bundesliga,Germany,,15:00,Ended,32
12499150,2025-05-02,Eintracht Braunschweig,Fortuna Düsseldorf,2. Bundesliga,Germany,,12:00,Ended,32
12499168,2025-05-02,SSV Ulm 1846,Hannover 96,2. Bundesliga,Germany,,15:30,Ended,32
12527828,2025-05-02,Juve Stabia,Catanzaro,Serie B,Italy,,13:15,Ended,36
12527826,2025-05-02,Cosenza,Bari,Serie B,Italy,,17:30,Ended,36
12527830,2025-05-02,Mantova,Cesena,Serie B,Italy,,16:15,Ended,36
12527832,2025-05-02,Modena,Reggiana,Serie B,Italy,,14:15,Ended,36
12527834,2025-05-02,Palermo,Südtirol,Serie B,Italy,,15:45,Ended,36
12527836,2025-05-02,Pisa,Frosinone,Serie B,Italy,,16:00,Ended,36
12527838,2025-05-02,Sampdoria,Cremonese,Serie B,Italy,,15:45,Ended,36
12527842,2025-05-02,Spezia,Salernitana,Serie B,Italy,,13:15,Ended,36
12527824,2025-05-02,Cittadella,Brescia,Serie B,Italy,,16:45,Ended,36
12527840,2025-05-02,Sassuolo,Carrarese,Serie B,Italy,,18:00,Ended,36
12450698,2025-05-02,Ajaccio,Lorient,Ligue 2,France,,22:15,Ended,33
12450699,2025-05-02,Amiens SC,Pau,Ligue 2,France,,20:00,Ended,33
12450691,2025-05-02,Caen,Red Star,Ligue 2,France,,21:45,Ended,33
12450678,2025-05-02,Clermont Foot,Annecy,Ligue 2,France,,20:30,Ended,33
12450697,2025-05-02,FC Martigues,Paris,Ligue 2,France,,19:30,Ended,33
12615580,2025-05-02,Grenoble Foot 38,Troyes,Ligue 2,France,,19:15,Ended,33
12450696,2025-05-02,Guingamp,Bastia,Ligue 2,France,,18:15,Ended,33
12450688,2025-05-02,Metz,Rodez AF,Ligue 2,France,,18:15,Ended,33
12450686,2025-05-02,USL Dunkerque,Stade Lavallois,Ligue 2,France,,18:30,Ended,33
13629490,2025-05-02,Grazer AK 1902,Austria Klagenfurt,"Bundesliga, Relegation Round",Austria,,19:15,Ended,29
13378643,2025-05-02,Deportivo Cuenca,Manta,"LigaPro Serie A, Primera Etapa",Ecuador,,02:00,Ended,11
13573877,2025-05-02,Ceramica Cleopatra,National Bank of Egypt,"Premier League, Championship Round",Egypt,,13:45,Ended,20
13573879,2025-05-02,Al-Masry,Zamalek SC,"Premier League, Championship Round",Egypt,,17:45,Ended,20
13573906,2025-05-02,Smouha,Ismaily,"Premier League, Relegation Round",Egypt,,13:30,Ended,21
13575597,2025-05-02,ZED,Tala'ea El-Gaish,"Premier League, Relegation Round",Egypt,,19:30,Ended,21
13493600,2025-05-02,York United,Cavalry,Canadian Premier League,Canada,,23:45,Ended,5
12448097,2025-05-02,Akron Togliatti,Dinamo Makhachkala,Premier League,Russia,,18:15,Ended,27
13482622,2025-05-02,Inter Milan,Fiorentina,"Serie A, Women, Championship Round",Italy,,14:30,Ended,9
12583760,2025-05-02,SGS Essen,SC Freiburg,Frauen-Bundesliga,Germany,,17:00,Ended,21
12583758,2025-05-02,Leverkusen,Leipzig,Frauen-Bundesliga,Germany,,10:15,Ended,21
13806656,2025-05-02,FC Levante Badalona,Barcelona,Liga F,Spain,,12:15,Ended,27
12716846,2025-05-02,Valencia,SD Eibar,Liga F,Spain,,13:45,Ended,28
12716847,2025-05-02,Costa Adeje Tenerife,Betis,Liga F,Spain,,15:30,Ended,28
13811248,2025-05-02,ES Sétif,CS Constantine,Ligue 1,Algeria,,21:30,Postponed,21
12797971,2025-05-02,Zirə FK,Turan Tovuz,Premier League,Azerbaijan,,16:30,Ended,33
13810788,2025-05-02,Al-Muharraq,Sitra Club,Premier League,Bahrain,,18:15,Ended,17
13810790,2025-05-02,Bahrain SC,A'Ali,Premier League,Bahrain,,17:30,Ended,17
13810782,2025-05-02,Malkiya Club,Al Najma Manama,Premier League,Bahrain,,18:00,Ended,17
13810776,2025-05-02,Al-Ahli Club,Al Riffa,Premier League,Bahrain,,18:00,Ended,17
13810784,2025-05-02,Al-Shabab Manama,Al Khalidiyah,Premier League,Bahrain,,15:30,Ended,17
13810789,2025-05-02,East Riffa,Manama Club,Premier League,Bahrain,,18:15,Ended,17
12572109,2025-05-02,Aubagne,US Orléans,National,France,,18:30,Ended,32
12570273,2025-05-02,Bourg-en-Bresse,FC Villefranche Beaujolais,National,France,,22:00,Ended,32
12570279,2025-05-02,Châteauroux,Dijon,National,France,,18:15,Ended,32
12570280,2025-05-02,Le Mans,FC Rouen,National,France,,20:30,Ended,32
12570274,2025-05-02,Nancy,Nîmes Olympique,National,France,,21:45,Ended,32
12570282,2025-05-02,Paris 13 Atletico,Valenciennes,National,France,,20:45,Ended,32
12570277,2025-05-02,Quevilly - Rouen Métropole,FC Versailles 78,National,France,,20:45,Ended,32
12570276,2025-05-02,US Boulogne Côte-d'Opale,Sochaux,National,France,,18:45,Ended,32
12523247,2025-05-02,VfL Osnabrück,FC Viktoria Köln,3. Liga,Germany,,17:15,Ended,36
13666304,2025-05-02,FC Bayern München,SV Werder Bremen,"DFB Pokal, Women",Germany,,16:00,Ended,29
12568383,2025-05-02,TSV Havelse,Kickers Emden,Regionalliga North,Germany Amateur,,21:15,Ended,32
12568407,2025-05-02,VfB Lübeck,Blau-Weiss Lohne,Regionalliga North,Germany Amateur,,20:15,Ended,32
12568400,2025-05-02,SC Weiche Flensburg 08,FC St Pauli II U23,Regionalliga North,Germany Amateur,,13:30,Ended,32
12505510,2025-05-02,Berliner FC Dynamo,Hallescher,Regionalliga Northeast,Germany Amateur,,20:45,Ended,32
12505513,2025-05-02,Hertha Zehlendorf,Viktoria Berlin,Regionalliga Northeast,Germany Amateur,,19:30,Ended,32
12505508,2025-05-02,FC Rot-Weiß Erfurt,FSV Luckenwalde,Regionalliga Northeast,Germany Amateur,,10:30,Ended,32
12505597,2025-05-02,VFC Plauen,VSG Altglienicke,Regionalliga Northeast,Germany Amateur,,12:15,Ended,32
12527998,2025-05-02,SC Paderborn 07 II,FC Schalke 04 II U23,Regionalliga West,Germany Amateur,,14:30,Ended,32
12527990,2025-05-02,SC Fortuna Köln,KFC Uerdingen 05,Regionalliga West,Germany Amateur,,19:15,Canceled,32
12531361,2025-05-02,TSG Hoffenheim II U23,FC 08 Homburg,Regionalliga Southwest,Germany Amateur,,18:15,Ended,32
12457091,2025-05-02,SpVgg Hankofen-Hailing,TSV Aubstadt,Regionalliga Bavaria,Germany Amateur,,19:45,Ended,32
12457135,2025-05-02,1. FC Schweinfurt 05,FC Würzburger Kickers,Regionalliga Bavaria,Germany Amateur,,20:15,Ended,32
12457092,2025-05-02,SV Wacker Burghausen,SpVgg Bayreuth,Regionalliga Bavaria,Germany Amateur,,18:00,Ended,32
12457098,2025-05-02,TSV Buchbach,FC Augsburg II,Regionalliga Bavaria,Germany Amateur,,19:45,Ended,32
13380076,2025-05-02,Medeama,Vision,Premier League,Ghana,,21:45,Ended,30
12598086,2025-05-02,Lecce U20,Empoli U20,Primavera 1,Italy,,11:30,Ended,36
12598079,2025-05-02,Roma U20,Inter U20,Primavera 1,Italy,,09:30,Ended,36
12598089,2025-05-02,Cagliari U20,Bologna U20,Primavera 1,Italy,,14:45,Ended,36
12598087,2025-05-02,Juventus U20,Sassuolo U20,Primavera 1,Italy,,13:45,Ended,36
13545642,2025-05-02,FK Zhenys,FK Aktobe,Premier League,Kazakhstan,,14:30,Ended,7
13545643,2025-05-02,Ulytau,Kairat Almaty,Premier League,Kazakhstan,,12:30,Ended,7
13545646,2025-05-02,Atyrau,FC Ordabasy,Premier League,Kazakhstan,,13:30,Ended,7
13836102,2025-05-02,Hibernians,Zabbar Saint Patrick,"Premier League, Closing Bottom 6",Malta,,13:30,Ended,5
12246926,2025-05-02,Hougang United,Tampines Rovers,Premier League,Singapore,,11:45,Ended,33
12246918,2025-05-02,Brunei DPMM,Tanjong Pagar United,Premier League,Singapore,,14:45,Ended,33
12246919,2025-05-02,Young Lions,Balestier Khalsa,Premier League,Singapore,,13:00,Ended,33
12632717,2025-05-02,FC Livyi Bereh Kyiv,Karpaty Lviv,Premier League,Ukraine,,14:30,Ended,27
12481985,2025-05-02,Rukh Lviv,FC Kryvbas Kryvyi Rih,Premier League,Ukraine,,15:00,Ended,27
12482005,2025-05-02,Chornomorets Odesa,Shakhtar Donetsk,Premier League,Ukraine,,10:00,Ended,27
12436562,2025-05-03,Man City,Wolverhampton,Premier League,England,,19:15,Ended,35
12436553,2025-05-03,Aston Villa,Fulham,Premier League,England,,14:30,Ended,35
12436572,2025-05-03,Everton,Ipswich Town,Premier League,England,,14:00,Ended,35
12436571,2025-05-03,Leicester City,Southampton,Premier League,England,,18:15,Ended,35
12436543,2025-05-03,Arsenal,Bournemouth,Premier League,England,,20:15,Ended,35
12501523,2025-05-03,Torino,Venezia,Serie A,Italy,,23:15,Ended,35
12501513,2025-05-03,Cagliari,Udinese,Serie A,Italy,,17:30,Ended,35
12501521,2025-05-03,Parma,Como,Serie A,Italy,,12:45,Ended,35
12501525,2025-05-03,Lecce,Napoli,Serie A,Italy,,19:00,Ended,35
12501526,2025-05-03,Inter Milan,Hellas Verona,Serie A,Italy,,18:45,Ended,35
12501512,2025-05-03,Empoli,Lazio,Serie A,Italy,,12:30,Ended,35
12437542,2025-05-03,Rayo Vallecano,Getafe,LaLiga,Spain,,19:30,Ended,34
12437536,2025-05-03,Deportivo Alavés,Atletico Madrid,LaLiga,Spain,,15:30,Ended,34
12437541,2025-05-03,Villarreal,Osasuna,LaLiga,Spain,,18:00,Ended,34
12437540,2025-05-03,Las Palmas,Valencia,LaLiga,Spain,,18:45,Ended,34
12437534,2025-05-03,Real Valladolid,Barcelona,LaLiga,Spain,,23:15,Ended,34
12499513,2025-05-03,1. FC Heidenheim,VfL Bochum 1848,Bundesliga,Germany,,23:00,Ended,32
12499522,2025-05-03,1. FC Union Berlin,SV Werder Bremen,Bundesliga,Germany,,16:15,Ended,32
12499520,2025-05-03,Borussia M'gladbach,TSG Hoffenheim,Bundesliga,Germany,,13:45,Ended,32
12499523,2025-05-03,FC St. Pauli,VfB Stuttgart,Bundesliga,Germany,,13:15,Ended,32
12499510,2025-05-03,Leipzig,FC Bayern München,Bundesliga,Germany,,13:00,Ended,32
12499512,2025-05-03,Borussia Dortmund,VfL Wolfsburg,Bundesliga,Germany,,20:00,Ended,32
12450232,2025-05-03,Nice,Stade de Reims,Ligue 1,France,,21:15,Ended,32
12450270,2025-05-03,RC Strasbourg,PSG,Ligue 1,France,,18:00,Ended,32
12450196,2025-05-03,Toulouse,Stade Rennais,Ligue 1,France,,20:15,Ended,32
12450231,2025-05-03,Saint-Étienne,AS Monaco,Ligue 1,France,,18:35,Ended,32
13631396,2025-05-03,KVC Westerlo,FCV Dender,"First Division, Conference League Playoffs",Belgium,,19:15,Ended,7
13631388,2025-05-03,Oud-Heverlee Leuven,KV Mechelen,"First Division, Conference League Playoffs",Belgium,,17:45,Ended,7
13631400,2025-05-03,Standard Liège,RC Sporting Charleroi,"First Division, Conference League Playoffs",Belgium,,13:15,Ended,7
13601025,2025-05-03,Al-Ahli,Kawasaki Frontale,AFC Champions League Elite,Asia,,19:30,Ended,29
12465202,2025-05-03,Bristol City,Preston North End,Championship,England,,15:45,Ended,46
12465206,2025-05-03,Burnley,Millwall,Championship,England,,11:15,Ended,46
12465213,2025-05-03,Coventry City,Middlesbrough,Championship,England,,15:00,Ended,46
12465209,2025-05-03,Derby County,Stoke City,Championship,England,,13:30,Ended,46
12465203,2025-05-03,Norwich City,Cardiff City,Championship,England,,11:30,Ended,46
12465216,2025-05-03,Plymouth Argyle,Leeds United,Championship,England,,12:15,Ended,46
12465204,2025-05-03,Portsmouth,Hull City,Championship,England,,14:45,Ended,46
12465212,2025-05-03,Sheffield United,Blackburn Rovers,Championship,England,,14:45,Ended,46
12465237,2025-05-03,Sunderland,Queens Park Rangers,Championship,England,,12:45,Ended,46
12465236,2025-05-03,Swansea City,Oxford United,Championship,England,,14:30,Ended,46
12465238,2025-05-03,Watford,Sheffield Wednesday,Championship,England,,13:45,Ended,46
12465229,2025-05-03,West Bromwich Albion,Luton Town,Championship,England,,14:30,Ended,46
12465957,2025-05-03,Córdoba,Cádiz,LaLiga 2,Spain,,21:15,Ended,38
12465953,2025-05-03,Huesca,Real Oviedo,LaLiga 2,Spain,,15:00,Ended,38
12465951,2025-05-03,Eibar,Mirandés,LaLiga 2,Spain,,16:15,Ended,38
12465956,2025-05-03,Málaga,Granada,LaLiga 2,Spain,,20:15,Ended,38
12465946,2025-05-03,Burgos Club de Fútbol,Elche,LaLiga 2,Spain,,20:45,Ended,38
12499165,2025-05-03,1. FC Magdeburg,Preußen Münster,2. Bundesliga,Germany,,18:15,Ended,32
12499208,2025-05-03,FC Schalke 04,SC Paderborn 07,2. Bundesliga,Germany,,18:45,Ended,32
12499207,2025-05-03,Darmstadt 98,Hamburger SV,2. Bundesliga,Germany,,13:30,Ended,32
12499150,2025-05-03,Eintracht Braunschweig,Fortuna Düsseldorf,2. Bundesliga,Germany,,10:30,Ended,32
12499168,2025-05-03,SSV Ulm 1846,Hannover 96,2. Bundesliga,Germany,,15:30,Ended,32
12499204,2025-05-03,1. FC Köln,SSV Jahn Regensburg,2. Bundesliga,Germany,,23:00,Ended,32
12499178,2025-05-03,1. FC Nürnberg,SV 07 Elversberg,2. Bundesliga,Germany,,14:15,Ended,32
12499206,2025-05-03,Hertha BSC,SpVgg Greuther Fürth,2. Bundesliga,Germany,,11:45,Ended,32
12499209,2025-05-03,Karlsruher SC,1. FC Kaiserslautern,2. Bundesliga,Germany,,12:00,Ended,32
12450698,2025-05-03,Ajaccio,Lorient,Ligue 2,France,,22:30,Ended,33
12450699,2025-05-03,Amiens SC,Pau,Ligue 2,France,,20:30,Ended,33
12450691,2025-05-03,Caen,Red Star,Ligue 2,France,,20:15,Ended,33
12450678,2025-05-03,Clermont Foot,Annecy,Ligue 2,France,,17:45,Ended,33
12450697,2025-05-03,FC Martigues,Paris,Ligue 2,France,,18:30,Ended,33
12615580,2025-05-03,Grenoble Foot 38,Troyes,Ligue 2,France,,21:15,Ended,33
12450696,2025-05-03,Guingamp,Bastia,Ligue 2,France,,20:30,Ended,33
12450688,2025-05-03,Metz,Rodez AF,Ligue 2,France,,18:00,Ended,33
12450686,2025-05-03,USL Dunkerque,Stade Lavallois,Ligue 2,France,,20:00,Ended,33
13629490,2025-05-03,Grazer AK 1902,Austria Klagenfurt,"Bundesliga, Relegation Round",Austria,,19:45,Ended,29
13629498,2025-05-03,WSG Tirol,LASK,"Bundesliga, Relegation Round",Austria,,16:45,Ended,29
12464897,2025-05-03,Blackpool,Bristol Rovers,League One,England,,13:45,Ended,46
12464896,2025-05-03,Bolton Wanderers,Stevenage,League One,England,,15:30,Ended,46
12464894,2025-05-03,Cambridge United,Birmingham City,League One,England,,14:00,Ended,46
12464898,2025-05-03,Charlton Athletic,Burton Albion,League One,England,,15:15,Ended,46
12464893,2025-05-03,Huddersfield Town,Leyton Orient,League One,England,,16:15,Ended,46
12464890,2025-05-03,Lincoln City,Wrexham,League One,England,,18:00,Ended,46
12464895,2025-05-03,Mansfield Town,Exeter City,League One,England,,17:30,Ended,46
